postal code	inhabitants	x	y
1391	0.00609	126674.0085	476197.5996
1393	0.00130	130569.8388	476299.5943
1396	0.00109	127930.4188	473190.8972
1426	0.00074	115980.3785	469300.334
1427	0.00079	117194.7342	471620.8485
3401	0.01029	131200.8144	448151.9841
3402	0.00757	131813.18	448727.4782
3403	0.00187	130105.4781	448462.0484
3404	0.00831	131153.2115	447013.9658
3405	0.00283	126737.9195	446572.8036
3411	0.00663	124475.8272	442789.9674
3412	0.00091	130839.6136	444438.5847
3413	0.00026	126749.3743	442431.2998
3415	0.00098	119047.1843	443862.68
3417	0.00795	125147.2218	450696.252
3421	0.00645	119436.9181	448714.0347
3425	0.00070	120760.8614	449172.9133
3431	0.00593	134168.8956	449384.6122
3432	0.00475	134794.4042	448118.0894
3433	0.00286	135232.3453	446928.1049
3434	0.00698	134391.5611	446688.5106
3435	0.00500	133518.1561	448374.2841
3436	0.00535	133366.7182	449537.5069
3437	0.01120	133643.3661	451134.5887
3438	0.00759	134641.0997	450871.5144
3439	0.00025	135920.2175	450393.5974
3441	0.00158	120540.8896	455402.8243
3442	0.00322	120050.7363	455075.7401
3443	0.00577	119843.7979	455776.6602
3444	0.00019	121850.5779	456748.9511
3445	0.00327	121753.6638	455982.2245
3446	0.00633	122141.4919	455213.8971
3447	0.00001	120986.1777	454498.9547
3448	0.00784	119064.7609	454569.723
3449	0.00032	119423.8291	455339.0291
3451	0.00758	129335.5568	457504.9109
3452	0.00761	129136.4159	456160.4099
3453	0.00759	129460.6045	454941.6156
3454	0.00957	131018.7724	454799.8896
3455	0.00034	128194.0143	459262.2415
3461	0.00310	122779.2447	452884.2144
3464	0.00032	118606.1305	451235.768
3467	0.00059	115968.675	447761.7031
3471	0.00312	121258.2883	458787.9001
3474	0.00192	117208.3311	458885.0129
3481	0.00686	125736.2934	455949.8411
3511	0.00700	136505.5388	455641.0699
3512	0.00641	136898.5133	455973.0921
3513	0.00436	135956.0228	456733.4493
3514	0.00603	136695.4645	456845.652
3515	0.00391	136486.5466	457271.5244
3521	0.00439	136099.1146	454781.9721
3522	0.00699	136371.0715	453950.9422
3523	0.00719	136289.5322	453507.3406
3524	0.00951	137737.4693	452792.5197
3525	0.00467	136623.1273	452755.2501
3526	0.00802	135325.0625	453389.2965
3527	0.00969	134804.0472	454356.7494
3528	0.00001	133919.9428	453488.4724
3531	0.00930	135051.1853	455900.5095
3532	0.00567	134964.9652	456308.9947
3533	0.00604	134352.4508	455359.4908
3534	0.00105	134182.8887	456971.8677
3541	0.00001	132646.9433	456319.0989
3542	0.00017	132054.1248	458712.2781
3543	0.00582	131516.1104	457311.697
3544	0.01369	131939.6884	456060.3588
3545	0.00011	132898.7844	454443.9815
3546	0.00018	131802.9564	450887.35
3551	0.00569	135169.3454	457110.3391
3552	0.00510	135503.8734	457649.6057
3553	0.00589	134485.9572	457944.9908
3554	0.00603	134811.336	458331.6021
3555	0.00632	133794.4947	458717.0862
3561	0.00718	137000.9608	458297.3638
3562	0.00547	136540.1552	458781.9935
3563	0.00511	135308.3976	459000.026
3564	0.00781	135789.6986	459398.3947
3565	0.00005	134505.8887	459865.1859
3566	0.00028	137072.0811	459226.6565
3571	0.00786	137306.4573	457673.8468
3572	0.00911	137658.5294	456716.4837
3573	0.00263	138421.7516	457895.5278
3581	0.00789	137661.385	455830.9628
3582	0.00697	137506.8726	454709.0725
3583	0.00482	138276.4539	455230.1986
3584	0.00446	139433.5197	455276.8702
3585	0.00015	138817.1481	453798.9545
3601	0.00572	131440.8997	461888.013
3602	0.00296	132763.2204	460889.6844
3603	0.00194	131098.7056	461251.554
3604	0.00124	132216.5034	460175.3663
3605	0.00432	130427.5887	460942.3931
3606	0.00003	131112.4762	460184.5946
3607	0.01158	129733.756	460923.4075
3608	0.00276	130606.4249	459729.3941
3611	0.00045	133035.8063	460178.8255
3612	0.00098	134595.9296	462442.6992
3615	0.00100	137000.6444	462546.7971
3621	0.00870	128728.4354	465292.8079
3626	0.00060	127227.2888	467268.3912
3628	0.00268	125270.9111	462542.3283
3631	0.00037	129067.1956	467388.6187
3632	0.00344	129968.7879	469347.8714
3633	0.00143	130758.7428	471545.7473
3634	0.00042	128620.577	471190.392
3641	0.00953	119056.0165	468539.817
3642	0.00280	119323.0994	467916.7339
3643	0.00137	119269.714	470046.2585
3645	0.00694	124457.6295	471095.4897
3646	0.00066	121578.2032	471713.0475
3648	0.00536	121322.971	467810.5436
3701	0.00467	145240.5165	455316.2225
3702	0.00314	144666.2626	455721.3832
3703	0.00483	144029.1144	454698.9161
3704	0.00747	143274.4602	455414.5944
3705	0.00766	144803.1243	456666.9071
3706	0.00426	143972.8664	457026.1235
3707	0.00477	145977.7906	456300.1574
3708	0.00484	146170.4184	454290.6118
3709	0.00026	145718.7655	453313.5965
3711	0.00120	149909.8617	454665.704
3712	0.00167	146584.3884	458484.8032
3721	0.00625	141301.4798	459257.4483
3722	0.00366	142975.7569	459990.2775
3723	0.00814	142427.6661	460933.7394
3731	0.00488	140558.6256	457956.4779
3732	0.00370	141158.8711	457798.9687
3734	0.00323	144896.0343	461437.6091
3735	0.00142	144944.3938	459425.3511
3737	0.00155	139045.1907	459744.7419
3738	0.00408	140535.748	463081.2246
3739	0.00118	140172.4497	465347.8506
3741	0.00728	148056.5859	469922.6109
3742	0.00792	148958.6376	468734.4844
3743	0.00361	147796.2227	469213.8959
3744	0.00089	144838.815	469376.3518
3749	0.00023	143677.2919	465789.4452
3751	0.00500	154433.1726	472715.2547
3752	0.01068	153764.6847	473097.7602
3754	0.00071	151000.904	473982.7216
3755	0.00724	146231.6909	473819.8321
3761	0.00402	148419.2432	466531.7255
3762	0.00689	147776.2827	465628.146
3763	0.00210	146915.0318	465165.3478
3764	0.00425	149257.9817	465565.8576
3765	0.00413	148428.8962	464608.4459
3766	0.00611	147730.6423	464229.327
3768	0.00476	149566.6121	463484.2447
3769	0.00516	148274.8042	458890.7131
3791	0.00200	162314.2835	461141.4569
3811	0.00485	155071.3886	463036.7643
3812	0.00884	153657.9807	463604.0143
3813	0.01266	155006.7712	464622.1902
3814	0.00478	155723.4359	463751.0387
3815	0.00857	156555.5208	464206.8941
3816	0.00917	156432.5196	462719.2989
3817	0.00974	155174.7384	461800.2164
3818	0.00829	153865.4053	461864.501
3819	0.00035	152413.9748	463129.6648
3821	0.00016	157101.166	465189.2113
3822	0.00701	156101.9597	465983.5031
3823	0.00971	155449.17	466713.841
3824	0.01252	154305.8103	468047.3009
3825	0.00786	157197.9193	467491.9485
3826	0.00284	157813.8448	468008.3777
3828	0.00887	154154.1175	466498.8045
3829	0.00238	157863.9713	466449.4906
3831	0.01050	158278.0831	460816.9461
3832	0.00311	156404.5798	458860.7504
3833	0.00602	157327.8553	460183.6592
3834	0.00168	158416.1922	459916.9856
3835	0.00029	158358.6741	462773.3746
3836	0.00011	160265.1766	463682.6695
3901	0.00743	166680.0457	448507.6953
3902	0.00841	167595.1612	448890.3092
3903	0.00584	166620.9485	446674.0704
3904	0.01107	165573.9899	447738.5128
3905	0.01173	166124.8156	449523.1772
3906	0.00623	164701.2026	449172.0253
3907	0.00014	168403.4476	448279.0458
3911	0.01128	167587.6175	441891.7751
3912	0.00054	167255.0142	442052.0895
3921	0.00333	162843.2769	444190.0971
3922	0.00030	161754.26	444556.8093
3927	0.00377	165320.1693	453875.9241
3931	0.00975	157440.7524	454799.2422
3941	0.00824	151480.4582	450265.0859
3945	0.00255	149453.0236	445261.6036
3947	0.00169	151462.0337	446821.0893
3951	0.00381	153877.4359	452915.0772
3953	0.00107	156718.8821	451931.1448
3956	0.00619	157714.8913	447229.2318
3958	0.00449	159971.2624	445982.6094
3959	0.00111	162555.7832	449094.7328
3961	0.00790	151135.8428	442720.9189
3962	0.00684	151793.404	443491.1201
3971	0.00649	148271.0569	452090.3907
3972	0.00861	147334.6148	451285.2062
3981	0.00544	142208.0064	453353.6741
3984	0.00448	144487.2096	451460.8219
3985	0.00193	145131.1868	448343.6027
3989	0.00001	137920.096	444881.5654
3991	0.01404	139775.0282	448165.2592
3992	0.00546	138949.8928	449751.2113
3993	0.00442	140415.0171	450256.4875
3994	0.01116	141088.5219	448392.9525
3995	0.00128	140471.208	448373.3992
3997	0.00052	143401.0318	446047.4452
3998	0.00159	141541.2888	444714.9791
3999	0.00057	138071.4795	445537.2401
4121	0.00102	139005.3839	441441.0285
4122	0.00066	137801.6138	439339.2145
4124	0.00121	136964.7207	443461.99
4131	0.00346	135390.3278	444800.8005
4132	0.00382	134770.6543	444682.7239
4133	0.00593	133803.9499	443829.3087
